rank,domain
163,telekom.de
360,rzone.de
412,amazon.de
492,google.de
515,t-online.de
685,spiegel.de
807,welt.de
850,bild.de
927,kleinanzeigen.de
939,otto.de
943,ebay.de
975,focus.de
1094,n-tv.de
1241,merkur.de
1513,joyclub.de
1630,ladies.de
1793,bund.de
1948,web.de
2328,admatic.de
2397,your-server.de
2408,mobile.de
2543,ccc.de
2561,idealo.de
2642,heise.de
2770,zeit.de
2824,ionos.de
2836,mpg.de
2839,strato.de
2938,zalando.de
2945,sueddeutsche.de
3018,kicker.de
3136,ddnss.de
3216,tagesschau.de
3256,telefonica.de
3453,br.de
3489,tagesspiegel.de
3497,webgo.de
3522,bahn.de
3641,zdf.de
3670,xplosion.de
3714,ndr.de
3723,nic.de
3746,adscale.de
3754,ardmediathek.de
3797,chip.de
3818,e-recht24.de
3890,stern.de
3930,freenet.de
3952,fraunhofer.de
4121,hosteurope.de
4320,goethe.de
4368,arbeitsagentur.de
4371,swr.de
4395,gesetze-im-internet.de
4446,siemens.de
4668,dhl.de
4767,blogspot.de
4790,plaver.de
4837,wetteronline.de
4838,immobilienscout24.de
4859,rwth-aachen.de
4957,second-ns.de
5035,wdr.de
5223,tum.de
5296,bayern.de
5380,rtl.de
5404,kaufland.de
5414,thomann.de
5418,fr.de
5482,morgenpost.de
5645,autoscout24.de
5703,eventim.de
5805,uni-heidelberg.de
5819,ui-dns.de
5867,sonnenbatterie.de
5877,elster.de
5932,joyn.de
5953,fu-berlin.de
6017,abendblatt.de
6054,mediamarkt.de
6074,immowelt.de
6111,thalia.de
6126,nrw.de
6149,giga.de
6161,rewe.de
6216,berlin.de
6225,hessen.de
6300,lidl.de
6323,augsburger-allgemeine.de
6325,check24.de
6348,sport1.de
6357,adac.de
6409,chefkoch.de
6531,uni-erlangen.de
6576,uni-muenchen.de
6684,autobild.de
6740,uni-hamburg.de
6877,mdr.de
6883,hna.de
6890,schwaebische.de
6973,sportschau.de
7018,tchibo.de
7086,deutschlandfunk.de
7135,tvspielfilm.de
7152,gamestar.de
7169,dfn.de
7212,uni-stuttgart.de
7257,nameserverservice.de
7373,gala.de
7469,bundestag.de
7506,nordkurier.de
7690,filmstarts.de
7738,fernsehserien.de
7773,rp-online.de
7897,volkswagen.de
7932,markt.de
7958,sport.de
8059,hu-berlin.de
8183,pornpics.de
8429,transdev.de
8439,uni-koeln.de
8502,bonprix.de
8559,pinterest.de
8566,uni-frankfurt.de
8615,taz.de
8631,deine-tierwelt.de
8694,qvc.de
8718,uni-bonn.de
8794,vodafone.de
8922,assertcom.de
9116,presseportal.de
9205,wort-suchen.de
9301,bundesregierung.de
9434,gegen-hartz.de
9578,finya.de
9903,kino.de
9952,dm.de
9958,destatis.de
10332,united-domains.de
10383,wbs-law.de
10388,tu-berlin.de
10392,tu-dresden.de
10467,keymachine.de
10589,antagus.de
10601,lieferando.de
10610,dg-datenschutz.de
10629,goneo.de
10669,lmu.de
